Time,"T° Read 3:540/25,590/20",A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1:49:17,37,16606,16617,16621,16599,16633,16483,16412,16734,16145,16512,16375,16736,16516,16216,17780,16634,16325,16250,16431,16670,16717,15779,16366,16563,16421,16695,17859,16381,16971,16226,16425,16532,16724,16531,16250,16580,16391,16506,16619,16166,16534,16242,16349,16495,16718,16757,16355,16685,16508,16412,16617,16258,16429,16228,16817,16781,16710,16727,16220,16509,16382,17579,16569,16274,16246,16474,16582,16327,16389,16447,16267,16616,16594,17941,16390,16166,16074,16052,16029,16089,15828,16508,16442,16555,16357,16509,16733,16085,16080,15992,15897,16558,15650,16104,16210,16397
1:59:17,37,16607,16653,16589,16653,16622,16472,16423,16722,16149,16498,16417,16706,16504,16144,18235,16584,16268,16232,16376,16682,16794,15808,16292,16550,16438,16715,18297,16386,16985,16176,16427,16581,16785,16528,16302,16508,16431,16527,16632,16206,16563,16133,16456,16535,16740,16815,16367,16679,16429,16474,16679,16326,16399,16384,16801,17032,16731,16777,16271,16634,16348,17895,16514,16331,16350,16538,16519,16414,16338,16468,16300,16540,16609,18386,16412,16203,16081,16067,16027,16131,15853,16484,16483,16646,16370,16509,16775,16025,16127,15936,15948,16556,15730,16150,16236,16439
2:09:17,37,16548,16591,16549,16579,16545,16474,16395,16770,16019,16441,16313,16708,16460,16043,18619,16455,16171,16223,16379,16630,16650,15728,16296,16548,16464,16840,18748,16342,16970,16125,16425,16610,16634,16490,16289,16408,16355,16545,16680,16097,16603,16104,16501,16580,16684,16799,16393,16723,16468,16448,16687,16423,16464,16613,16776,17356,16675,16727,16273,16532,16351,18293,16580,16344,16294,16420,16503,16290,16392,16488,16224,16515,16569,18881,16419,16165,16086,16066,15981,16096,15841,16425,16485,16601,16360,16443,16737,16146,16091,15978,15904,16519,15686,16101,16210,16393
2:19:17,37,16592,16528,16601,16519,16482,16385,16356,16711,15999,16459,16342,16689,16433,16292,19067,16449,16175,16284,16379,16647,16695,15683,16281,16569,16399,16859,19258,16268,16927,16185,16411,16636,16655,16435,16174,16453,16352,16491,16642,16041,16609,16108,16524,16580,16679,16791,16344,16708,16453,16397,16498,16618,16367,17029,16747,17703,16714,16747,16228,16521,16342,18848,16518,16288,16203,16441,16499,16253,16367,16430,16281,16557,16590,19532,16398,16102,16066,16020,15959,16143,15816,16436,16467,16701,16372,16484,16708,16038,16068,15984,15939,16551,15632,16082,16216,16375
2:29:17,37,16600,16574,16583,16574,16562,16456,16370,16765,16119,16485,16349,16701,16478,16339,19752,16498,16206,16360,16416,16879,16781,15728,16318,16571,16468,17024,19837,16305,16983,16293,16530,16644,16742,16501,16312,16544,16424,16484,16618,16064,16566,16186,16617,16743,16738,16790,16364,16755,16468,16469,16663,16979,16468,17427,16812,18222,16723,16776,16355,16497,16401,19535,16586,16284,16236,16408,16525,16421,16430,16487,16318,16612,16650,20413,16440,16218,16094,16071,16018,16129,15817,16525,16481,16679,16357,16528,16758,16169,16136,16003,15913,16561,15666,16172,16291,16444
2:39:17,37,16638,16640,16634,16607,16590,16471,16430,16762,16118,16504,16391,16667,16494,16446,20481,16417,16235,16420,16491,16884,16724,15788,16340,16642,16472,17101,20402,16291,17039,16366,16544,16775,16689,16547,16300,16482,16411,16549,16615,16073,16578,16205,16570,16808,16662,16775,16415,16782,16450,16468,16681,17368,16475,17854,16820,18755,16786,16803,16364,16605,16441,20276,16661,16234,16307,16533,16586,16390,16488,16511,16301,16579,16688,21172,16471,16191,16070,16099,16035,16136,15874,16424,16482,16710,16425,16589,16838,16127,16126,16002,15927,16622,15728,16185,16234,16416
2:49:17,36.9,16530,16560,16561,16568,16501,16464,16325,16729,16117,16454,16299,16607,16456,16447,21264,16361,16268,16508,16448,16968,16752,15838,16268,16571,16440,17143,20991,16193,16988,16474,16514,16828,16709,16546,16206,16440,16245,16490,16483,15980,16485,16292,16506,16920,16680,16730,16296,16680,16403,16430,16551,17641,16405,18300,16706,19363,16744,16756,16295,16546,16411,21149,16589,16227,16229,16446,16480,16329,16395,16404,16262,16541,16526,22116,16405,16138,16110,15985,15999,16061,15902,16398,16364,16616,16317,16508,16748,16093,16066,15923,15939,16561,15658,16148,16193,16359
2:59:17,37,16573,16657,16618,16548,16523,16502,16383,16744,16111,16464,16372,16695,16473,16670,22276,16466,16392,16638,16630,17077,16785,15914,16354,16538,16524,17217,21841,16191,17035,16575,16609,16936,16776,16698,16296,16503,16431,16589,16583,16156,16528,16395,16674,17069,16683,16793,16360,16659,16467,16439,16685,18120,16462,18933,16741,20076,16735,16827,16294,16574,16441,22183,16611,16282,16349,16450,16636,16402,16461,16466,16315,16617,16595,23218,16544,16201,16108,16095,16088,16108,15812,16535,16481,16687,16406,16538,16790,16168,16138,16018,15928,16580,15729,16103,16239,16435
3:09:17,36.9,16558,16561,16621,16633,16573,16449,16420,16759,16078,16490,16392,16733,16421,16740,23455,16380,16409,16774,16690,17147,16696,15968,16316,16636,16473,17389,22585,16212,17029,16704,16650,17083,16768,16749,16253,16516,16351,16582,16549,16166,16617,16420,16708,17163,16769,16813,16410,16740,16510,16482,16654,18655,16456,19665,16788,21021,16719,16747,16276,16585,16364,23285,16623,16300,16280,16406,16548,16311,16432,16428,16295,16567,16565,24428,16473,16266,16115,16094,15999,16064,15859,16535,16536,16659,16357,16570,16729,16087,16176,15994,15920,16576,15681,16124,16267,16443
3:19:17,37,16578,16611,16567,16536,16588,16469,16351,16653,16072,16441,16271,16685,16449,16773,24615,16352,16496,16892,16731,17250,16688,16076,16334,16599,16450,17496,23500,16225,17057,16773,16660,17172,16703,16901,16245,16479,16400,16571,16441,16217,16582,16569,16737,17171,16747,16756,16327,16684,16445,16532,16663,19341,16429,20466,16784,22075,16687,16723,16216,16519,16387,24497,16637,16328,16333,16425,16498,16349,16399,16541,16294,16545,16584,25803,16463,16158,16114,16077,16007,16143,15841,16486,16479,16627,16320,16506,16760,16148,16087,15936,15951,16609,15679,16123,16187,16410
